hostname,pl_name,pl_orbsmax,sy_pnum
"55 Cnc B","55 Cnc B b",0.0440000000,7
"Kepler-62","Kepler-62 b",0.0553000000,5
"Kepler-385","Kepler-385 d",0.2872000000,3
"HD 28471","HD 28471 c",0.0650000000,3
"Kepler-49","Kepler-49 b",0.0592900000,4
"Kepler-79","Kepler-79 b",0.1170000000,4
"Kepler-265","Kepler-265 b",0.0690000000,4
"TOI-4010","TOI-4010 c",0.0580000000,4
"Kepler-100","Kepler-100 c",0.1106100000,4
"TOI-700","TOI-700 b",0.0677000000,4
"Kepler-114","Kepler-114 c",0.0648200000,3
"Kepler-20","Kepler-20 c",0.0936000000,6
"Kepler-11","Kepler-11 f",0.2500000000,6
"Kepler-217","Kepler-217 d",0.0534000000,3
"Kepler-305","Kepler-305 d",0.1209100000,4
"Kepler-218","Kepler-218 c",0.2480000000,3
"K2-136","K2-136 b",0.0707000000,3
"K2-80","K2-80 b",0.1350000000,3
"Kepler-186","Kepler-186 d",0.0781000000,5
"AU Mic","AU Mic b",0.0700000000,4
"Kepler-446","Kepler-446 d",0.0403000000,3
"HD 22946","TOI-411 c",0.1017000000,3
"Kepler-286","Kepler-286 b",0.0270000000,4
"Kepler-47","Kepler-47 c",0.9638000000,3
"TOI-1260","TOI-1260 d",0.1116000000,3
"HD 23472","HD 23472 e",0.0680000000,5
"HD 73344","HD 73344 c",0.3388000000,3
"Kepler-616","Kepler-616 d",0.2749000000,3
"Kepler-176","Kepler-176 b",0.0580000000,4
"Kepler-290","Kepler-290 c",0.2050000000,3
"61 Vir","61 Vir d",0.4760000000,3
"Kepler-83","Kepler-83 c",0.1179600000,3
"HIP 14810","HIP 14810 d",1.9400000000,3
"Kepler-176","Kepler-176 e",0.2565400000,4
"Kepler-357","Kepler-357 c",0.1200000000,3
"Kepler-194","Kepler-194 c",0.1310000000,3
"HD 108236","HD 108236 c",0.0620000000,5
"HD 20794","HD 20794 f",1.3541000000,4
"Kepler-374","Kepler-374 b",0.0290000000,3
"Kepler-194","Kepler-194 b",0.0320000000,3
"Kepler-157","Kepler-157 d",0.0706000000,3
"Kepler-1468","Kepler-1468 c",0.0466000000,3
"Kepler-1468","Kepler-1468 b",0.0817000000,3
"TOI-5624","TOI-5624 c",0.0737400000,5
"Kepler-148","Kepler-148 d",0.2607000000,3
"TOI-663","TOI-663 b",0.0295000000,3
"Kepler-304","Kepler-304 e",0.0231700000,4
"HD 28109","HD 28109 c",0.3080000000,3
"EPIC 249893012","EPIC 249893012 c",0.1300000000,3
"Kepler-529","Kepler-529 c",0.1075000000,3
"GJ 180","GJ 180 c",0.1290000000,3
"HD 31527","HD 31527 d",0.8098000000,3
"TOI-712","TOI-712 c",0.2447000000,3
"Kepler-84","Kepler-84 e",0.1810000000,5
"Kepler-49","Kepler-49 c",0.0782100000,4
"Kepler-126","Kepler-126 c",0.1620000000,3
"Kepler-394","Kepler-394 d",0.0590400000,3
"Kepler-619","Kepler-619 c",0.0221600000,3
"Kepler-253","Kepler-253 b",0.0460000000,3
"Kepler-139","Kepler-139 c",0.5860000000,5
"Kepler-217","Kepler-217 c",0.0890000000,3
"Kepler-235","Kepler-235 d",0.1220000000,4
"KOI-7892","Kepler-457 d",0.0996000000,3
"TOI-712","TOI-712 b",0.0792800000,3
"V1298 Tau","V1298 Tau b",0.1685000000,4
"DMPP-2","DMPP-2 b",0.0663800000,3
"Kepler-250","Kepler-250 c",0.0690000000,3
"HD 20781","HD 20781 d",0.1647000000,5
"Kepler-79","Kepler-79 e",0.3860000000,4
"Kepler-235","Kepler-235 c",0.0650000000,4
"Kepler-20","Kepler-20 d",0.3474000000,6
"HD 69830","HD 69830 b",0.0785000000,3
"DMPP-1","DMPP-1 c",0.0973000000,4
"TOI-1246","TOI-1246 c",0.0610000000,4
"HD 204313","HD 204313 e",7.4570000000,3
"Kepler-454","Kepler-454 d",5.1000000000,3
"Kepler-271","Kepler-271 b",0.0878400000,3
"Kepler-336","Kepler-336 c",0.0920000000,3
"Kepler-65","Kepler-65 d",0.0840000000,4
"Kepler-229","Kepler-229 c",0.1170000000,3
"WASP-47","WASP-47 e",0.0167300000,4
"HD 48948","HD 48948 b",0.0652000000,3
"HD 110067","HD 110067 d",0.1362000000,6
"Kepler-203","Kepler-203 c",0.0610000000,3
"TOI-1203","TOI-1203.01",0.1632000000,4
"Kepler-238","Kepler-238 d",0.1150000000,5
"Kepler-221","Kepler-221 b",0.0370000000,4
"HD 28109","HD 28109 d",0.4110000000,3
"Kepler-619","Kepler-619 d",0.1021000000,3
"Kepler-411","Kepler-411 c",0.0739000000,4
"HD 134606","HD 134606 b",0.1046000000,5
"Kepler-445","Kepler-445 b",0.0217000000,3
"Kepler-138","Kepler-138 d",0.1288000000,4
"Kepler-33","Kepler-33 c",0.1189000000,5
"Kepler-529","Kepler-529 d",0.2134000000,3
"Kepler-381","Kepler-381 d",0.0836400000,3
"Kepler-296","Kepler-296 d",0.1180000000,5
"Kepler-1254","Kepler-1254 d",0.0575000000,3
"TOI-4504","TOI-4504 b",0.0339200000,3
"Kepler-148","Kepler-148 b",0.0280000000,3
"TOI-4504","TOI-4504 d",0.2219000000,3
"Kepler-299","Kepler-299 e",0.2200000000,4
"HD 96700","HD 96700 b",0.0777000000,3
"GJ 876","GJ 876 b",0.2083170000,4
"Kepler-208","Kepler-208 b",0.0540000000,4
"GJ 357","GJ 357 c",0.0610000000,3
"Kepler-48","Kepler-48 f",5.7191878770,5
"Kepler-82","Kepler-82 f",0.3395000000,5
"Kepler-122","Kepler-122 e",0.2270000000,5
"Kepler-304","Kepler-304 d",0.0800000000,4
"K2-32","K2-32 d",0.1842200000,4
"Kepler-58","Kepler-58 d",0.2360000000,4
"DMPP-1","DMPP-1 b",0.1423000000,4
"Kepler-334","Kepler-334 d",0.1680000000,3
"GJ 667 C","GJ 667 C g",0.5490000000,5
"K2-3","K2-3 b",0.0747000000,3
"HD 96700","HD 96700 d",0.4240000000,3
"Kepler-208","Kepler-208 d",0.1030000000,4
"Kepler-299","Kepler-299 b",0.0400000000,4
"Kepler-276","Kepler-276 b",0.1190000000,3
"Kepler-381","Kepler-381 b",0.0660000000,3
"K2-187","K2-187 c",0.0392000000,4
"TOI-561","TOI-561 b",0.0106400000,4
"YZ Cet","YZ Cet b",0.0163400000,3
"K2-268","K2-268 b",0.0308000000,5
"Kepler-1542","Kepler-1542 c",0.0387000000,4
"Kepler-331","Kepler-331 c",0.1050000000,3
"Kepler-1388","Kepler-1388 b",0.0882000000,4
"Kepler-92","Kepler-92 c",0.1905400000,3
"KOI-94","KOI-94 e",0.3046000000,4
"Kepler-288","Kepler-288 c",0.1400000000,3
"Kepler-33","Kepler-33 f",0.2535000000,5
"TOI-1266","TOI-1266 b",0.0730000000,3
"Kepler-32","Kepler-32 f",0.0130000000,5
"Kepler-968","Kepler-968 b",0.0389000000,3
"Kepler-1669","Kepler-1669 d",0.0468000000,3
"Kepler-288","Kepler-288 b",0.0650000000,3
"Kepler-215","Kepler-215 d",0.1850000000,4
"HD 7924","HD 7924 d",0.1551000000,3
"Kepler-48","Kepler-48 b",0.0539400000,5
"Kepler-215","Kepler-215 c",0.1130000000,4
"Kepler-763","Kepler-763 d",0.0634000000,3
"K2-268","K2-268 c",0.0819000000,5
"Kepler-24","Kepler-24 b",0.0804500000,4
"GJ 3293","GJ 3293 d",0.1939400000,4
"HD 40307","HD 40307 d",0.1321000000,5
"47 UMa","47 UMa b",2.1000000000,3
"Kepler-24","Kepler-24 c",0.1061200000,4
"Kepler-1254","Kepler-1254 b",0.0833000000,3
"HD 37124","HD 37124 d",2.8070000000,3
"Kepler-1987","Kepler-1987 b",0.0318000000,4
"XO-2 S","XO-2 S b",0.1347000000,4
"LP 791-18","LP 791-18 d",0.0199200000,3
"Kepler-336","Kepler-336 d",0.1540000000,3
"Kepler-37","Kepler-37 d",0.2109000000,4
"HD 69830","HD 69830 d",0.6300000000,3
"Kepler-374","Kepler-374 c",0.0420000000,3
"Kepler-186","Kepler-186 f",0.4320000000,5
"Kepler-351","Kepler-351 c",0.2870000000,3
"HD 93385","HD 93385 d",0.2565000000,3
"rho CrB","rho CrB c",0.4206000000,3
"EPIC 249893012","EPIC 249893012 b",0.0470000000,3
"Kepler-310","Kepler-310 d",0.3920000000,3
"HD 11506","HD 11506 c",0.7710000000,3
"Kepler-102","Kepler-102 c",0.0670200000,5
"Kepler-215","Kepler-215 e",0.3140000000,4
"Kepler-394","Kepler-394 b",0.0830000000,3
"Kepler-416","Kepler-416 c",0.1045400000,3
"Kepler-401","Kepler-401 c",0.2690000000,3
"GJ 433","GJ 433 b",0.0620000000,3
"Kepler-228","Kepler-228 d",0.1010000000,3
"Kepler-326","Kepler-326 d",0.0660000000,3
"HD 33142","HD 33142 c",1.9550000000,3
"Kepler-174","Kepler-174 c",0.2140000000,3
"KOI-351","KOI-351 f",0.4800000000,8
"K2-138","K2-138 d",0.0589300000,6
"HD 34445","HD 34445 g",6.3600000000,6
"TOI-1136","TOI-1136 d",0.1062000000,6
"Kepler-327","Kepler-327 d",0.0900000000,3
"HD 164922","HD 164922 b",2.1600000000,4
"Kepler-342","Kepler-342 d",0.2420000000,4
"HD 108236","HD 108236 b",0.0452700000,5
"HR 858","HR 858 d",0.1046000000,3
"TOI-270","TOI-270 b",0.0319700000,3
"K2-16","K2-16 b",0.0667000000,3
"Kepler-304","Kepler-304 b",0.0390000000,4
"Kepler-222","Kepler-222 d",0.1800000000,3
"Kepler-164","Kepler-164 c",0.0970000000,4
"HD 20781","HD 20781 b",0.0529000000,5
"Kepler-208","Kepler-208 c",0.0790000000,4
"Kepler-255","Kepler-255 d",0.0192000000,3
"Kepler-167","Kepler-167 b",0.0482500000,4
"Kepler-186","Kepler-186 e",0.1100000000,5
"Kepler-80","Kepler-80 e",0.0491000000,6
"Kepler-164","Kepler-164 e",0.4025000000,4
"Kepler-184","Kepler-184 b",0.0920000000,3
"HD 39091","HD 39091 b",3.2800000000,3
"Kepler-207","Kepler-207 c",0.0440000000,3
"Kepler-292","Kepler-292 e",0.0970000000,5
"Kepler-444","Kepler-444 e",0.0696000000,5
"Kepler-129","Kepler-129 c",0.3900000000,3
"GJ 3293","GJ 3293 c",0.3617500000,4
"K2-285","K2-285 b",0.0381700000,4
"Kepler-220","Kepler-220 c",0.0760000000,4
"Kepler-324","Kepler-324 b",0.0500000000,4
"Kepler-100","Kepler-100 b",0.0730900000,4
"Kepler-265","Kepler-265 c",0.1270000000,4
"Kepler-336","Kepler-336 b",0.0330000000,3
"Kepler-154","Kepler-154 b",0.1980000000,5
"Kepler-332","Kepler-332 c",0.1140000000,3
"TOI-4010","TOI-4010 b",0.0229000000,4
"Kepler-247","Kepler-247 d",0.1400000000,3
"Kepler-549","Kepler-549 c",0.4533200000,3
"Kepler-130","Kepler-130 d",0.3770000000,3
"Kepler-327","Kepler-327 c",0.0470000000,3
"GJ 676 A","GJ 676 A b",1.7350000000,4
"HD 215152","HD 215152 c",0.0673930000,4
"Kepler-127","Kepler-127 c",0.2000000000,3
"LHS 1678","LHS 1678 b",0.0123900000,3
"HIP 14810","HIP 14810 b",0.0696000000,3
"Kepler-42","Kepler-42 b",0.0116000000,3
"Kepler-149","Kepler-149 c",0.2810000000,3
"HD 33142","HD 33142 d",0.4520000000,3
"KOI-142","KOI-142 c",0.1541210030,3
"Kepler-271","Kepler-271 c",0.0699300000,3
